Title,Year,Rated,Released,Season,Episode,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,seriesID,Type,Response
Det. Dave Majors,2015,TV-14,03 May 2015,2,21,22 min,"Comedy, Crime",Michael McDonald,"Dan Goor, Michael Schur, Gabe Liedman","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake is jealous when a detective from another precinct wants to ask Amy out on a date. Linetti and Boyle try to keep Jeffords from taking a job with a private firm, but captain Holt seems to be pushing him out the door.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZTdiMDEzMTgtZWQ5Yi00ZjQ3LThiMzQtZGUyM2Y5NzEzNTg4XkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,3240,tt4526686,tt2467372,episode,True
The Chopper,2015,TV-14,10 May 2015,2,22,22 min,"Comedy, Crime",Phil Traill,"Dan Goor, Michael Schur, Tricia McAlpin","Andy Samberg, Stephanie Beatriz, Terry Crews",Holt worries that Jake is being set up to fail when Wuntch green lights his dream assignment. Terry hosts a field trip for a magnet school.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMDcwNGYxMTMtMzU5MC00NTBmLWE5ZDMtYTllMzQ4MmQyYzE4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,3475,tt4526688,tt2467372,episode,True
Johnny and Dora,2015,TV-14,17 May 2015,2,23,22 min,"Comedy, Crime",Dean Holland,"Dan Goor, Michael Schur, Luke Del Tredici","Andy Samberg, Stephanie Beatriz, Terry Crews",Jake and Amy go undercover to catch an infamous identity thief. The squad is rocked by an unexpected farewell.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYTliMGZhOTQtMjU0ZS00NGMyLThmMTUtOWEzODE4NDZkODA1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.0/10'}]",N/A,9.0,4499,tt4584946,tt2467372,episode,True
New Captain,2015,TV-14,27 Sep 2015,3,1,22 min,"Comedy, Crime",Michael Schur,"Dan Goor, Michael Schur, Matt Murray","Andy Samberg, Stephanie Beatriz, Terry Crews","Nobody in the precinct likes the new captain, Wuntch continues to humiliate Holt as he takes his new job in Public Relations, and Jake and Amy try to figure out what to do next after their kiss.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjA2Nzk4MTM4MV5BMl5BanBnXkFtZTgwNzkyNTA3NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,3612,tt4371294,tt2467372,episode,True
The Funeral,2015,TV-14,04 Oct 2015,3,2,22 min,"Comedy, Crime",Claire Scanlon,"Dan Goor, Michael Schur, Luke Del Tredici","Andy Samberg, Stephanie Beatriz, Terry Crews","The Nine-Nine gets another personnel change that could put Jake and Amy's budding relationship at risk. Meanwhile, Terry assists Holt with an important public relations matter, and Rosa and Gina try to convince Charles to rethink ...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMmFmMDczODktNGM1Ni00ZjljLTk1NmUtYzIwYWQ2YjYyMjgwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,3297,tt4371296,tt2467372,episode,True
Boyle's Hunch,2015,TV-14,11 Oct 2015,3,3,22 min,"Comedy, Crime",Trent O'Donnell,"Dan Goor, Michael Schur, Tricia McAlpin","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake thinks Boyle might have met his soul-mate in Genevieve, an art gallery owner, and he tries to help set them up. Meanwhile, Rosa deals with intra-precinct theft and Holt seeks Amy's help with an image campaign.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNmVkNmIzYWItYTdjZi00ZGI2LThmMmQtYzM3MWY3ZTZhMTQ5XkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,2964,tt4371298,tt2467372,episode,True
The Oolong Slayer,2015,TV-14,18 Oct 2015,3,4,21 min,"Comedy, Crime",Michael McDonald,"Dan Goor, Michael Schur, Gabe Liedman","Andy Samberg, Stephanie Beatriz, Terry Crews",Jake and Holt secretly team up to hunt for a serial killer. Amy and Rosa seek revenge for a sexist assignment.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzhjOTkzNzgtMGYxOS00NzY0LWFmN2MtMWQ0ODdiMWQzNmEzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,3452,tt4371300,tt2467372,episode,True
Halloween III,2015,TV-14,25 Oct 2015,3,5,22 min,"Comedy, Crime",Michael McDonald,"Dan Goor, Michael Schur, David Phillips","Andy Samberg, Stephanie Beatriz, Terry Crews","For this year's Halloween challenge, Jake and Holt divide the precinct into teams as they try to see who can steal a crown held under lock and key in the interrogation room.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDhiY2I1ZGItY2M4Ny00MWUxLTlkMTMtMGFmODc2N2I5OWYwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}]",N/A,8.9,4113,tt4371304,tt2467372,episode,True
Into the Woods,2015,TV-14,08 Nov 2015,3,6,22 min,"Comedy, Crime",Linda Mendoza,"Dan Goor, Michael Schur, Andrew Guest","Andy Samberg, Stephanie Beatriz, Terry Crews",Jake and Charles talk Terry into going camping; Rosa receives relationship advice from Holt; Gina helps Amy prepare for a presentation.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOTIwNmExYjYtMWEzYy00MmY0LWI0YjgtY2I0NDFhMjEwZjc3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,3194,tt4371306,tt2467372,episode,True
The Mattress,2015,TV-14,15 Nov 2015,3,7,21 min,"Comedy, Crime",Dean Holland,"Laura McCreary, Matt O'Brien, Lakshmi Sundaram","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake and Amy work together on a case, and wind up arguing over Jake's old, worn-out mattress. Meanwhile, Boyle scratches Holt's prized car, and the teenage boy Rosa sponsors as a ""big brother"" is in trouble with the law.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYTYyZDhlNjktNDkzNS00MTljLWEyZWItZjU0MTFhNjM2MDEzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,3435,tt4371310,tt2467372,episode,True
Ava,2015,TV-14,22 Nov 2015,3,8,21 min,"Comedy, Crime",Tristram Shapeero,"Dan Goor, Michael Schur, Matt O'Brien","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake entertains Terry's pregnant wife, Sharon, until her water breaks sooner than expected and crisis ensues at the precinct.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMThiM2RkZmUtYWFkNi00Zjk0LTg2MTMtMTc4YWUwNjNmMzhlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,3242,tt4371320,tt2467372,episode,True
The Swedes,2015,TV-14,06 Dec 2015,3,9,21 min,"Comedy, Crime",Eric Appel,"Dan Goor, Michael Schur, Matt Murray","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake and Rosa investigate a case in which they have to assist InterPol. Amy and Terry team up to help Gina study for an exam, while Captain Holt recruits Charles to double with him in a squash tournament.","English, Swedish",United States,N/A,https://m.media-amazon.com/images/M/MV5BMDZhZWVhN2ItZjFjNS00ZTA4LTg0ZGItZmYwZGE2ZDYxNmQzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,3276,tt4371312,tt2467372,episode,True
Yippie Kayak,2015,TV-14,13 Dec 2015,3,10,21 min,"Comedy, Crime",Rebecca Asher,"Dan Goor, Michael Schur, Lakshmi Sundaram","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake, Charles and Gina get into trouble while doing last-minute Christmas shopping, Terry tries to make it through the holidays without a call from the precinct, and Amy takes part in a ""Polar Swim"" with Holt and Diaz.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjk3ZTljYjMtNjJkMS00MDhiLTlkMDYtZTM5YmM5NTg0MWQ5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}]",N/A,8.7,3684,tt4371314,tt2467372,episode,True
Hostage Situation,2016,TV-14,05 Jan 2016,3,11,21 min,"Comedy, Crime",Max Winkler,"Dan Goor, Michael Schur, Phil Augusta Jackson","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake helps Charles reclaim the rights to his sperm from his ex-wife, Amy accidentally breaks Terry's nose after asking for a recommendation, and Gina helps interrogate a suspect who refuses to speak to anyone but her.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNmNmODE5ZTMtNjcyZi00Y2IzLWI3OGItYjk0MWFkMzU2MGEyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,3137,tt4371322,tt2467372,episode,True
9 Days,2016,TV-14,19 Jan 2016,3,12,22 min,"Comedy, Crime",Dean Holland,"Dan Goor, Michael Schur, Justin Noble","Andy Samberg, Stephanie Beatriz, Terry Crews","Peralta and Holt contract the Mumps while working on a cold case. Terry takes over the precinct in his place, but his ambitious plans ultimately fail. Boyle is sad over the death of his dog, but Diaz doesn't understand it.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYTFhM2ExMGMtODQ0ZS00MWQ2LWE4MmYtNzMwNTU5MmUzNDEzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,3342,tt4371324,tt2467372,episode,True
The Cruise,2016,TV-14,26 Jan 2016,3,13,21 min,"Comedy, Crime",Michael Spiller,"Dan Goor, Michael Schur, Tricia McAlpin","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake comes face-to-face with his old nemesis Doug Judy as he and Amy go on a cruise. Meanwhile, Holt's sister comes to town for a visit, and Diaz and Boyle fight over a rent-controlled apartment which was a crime scene.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzVkYThmNTctYTVhMi00NjVlLTliMTctZTI5ZDU0YjMwMTAwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,3216,tt4371326,tt2467372,episode,True
Karen Peralta,2016,TV-14,02 Feb 2016,3,14,21 min,"Comedy, Crime",Bruce McCulloch,"Dan Goor, Michael Schur, Alison Agosti","Andy Samberg, Stephanie Beatriz, Terry Crews","On Jake's birthday, his Mom tells him she is back together with his hated father. Meanwhile, Charles has an embarrassing moment with a body cam, and Holt's ""Escape the Room"" exercise for the Nine-Nine does not go as planned.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTU3ZDI2YTktODZmMS00YjE1LWIxYzMtZTAyM2JkOWMxZTljXkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,2944,tt4371328,tt2467372,episode,True
The 9-8,2016,TV-14,09 Feb 2016,3,15,22 min,"Comedy, Crime",Nisha Ganatra,"Dan Goor, Michael Schur, David Phillips","Andy Samberg, Stephanie Beatriz, Terry Crews","Chaos ensues when the Nine-Nine is forced to share their station with the Nine-Eight precinct while their station is closed, and Charles consequently becomes jealous of Jake's old partner, who is an officer in the Nine-Eight.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjY4NmNkOTUtZDI3OC00YTRjLWFkYmQtYjFlNjVmZThkZDI3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,3067,tt4371330,tt2467372,episode,True
House Mouses,2016,TV-14,16 Feb 2016,3,16,22 min,"Comedy, Crime",Claire Scanlon,"Dan Goor, Michael Schur, Andrew Guest","Andy Samberg, Stephanie Beatriz, Terry Crews","Trying to get called to a ""celebrity"" case, Jake tricks Hitchcock and Scully into taking a case that might be more dangerous than everyone thought. Amy, Rosa, and Gina take the day to conquer their worst fears",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjE5MTc0MWQtOTFiYy00NWFkLTgyZmItZjljMWY3OTgzMGViXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,2975,tt4371332,tt2467372,episode,True
Adrian Pimento,2016,TV-14,23 Feb 2016,3,17,21 min,"Comedy, Crime",Maggie Carey,"Dan Goor, Michael Schur, Luke Del Tredici","Andy Samberg, Stephanie Beatriz, Terry Crews","The precinct gains a new detective who has just completed a 12-year undercover job with the mob, Charles' latest mess prompts the janitors to refuse to clean the precinct, and Gina directs a video for Holt.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZjhmNTBkNjktNzU0MS00ZDY3LWFjNjgtMDU5ZWNkMzUwMmY0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,3071,tt4371336,tt2467372,episode,True
Cheddar,2016,TV-14,01 Mar 2016,3,18,21 min,"Comedy, Crime",Alex Reid,"Dan Goor, Michael Schur, Jessica Polonsky","Andy Samberg, Stephanie Beatriz, Terry Crews","While Holt is en route to visit Kevin in Paris, Jake and Amy inadvertently lose his dog. Meanwhile, Charles has laser eye surgery, and the sexual tension between Rosa and Adrian Pimento disgusts Terry.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjUzZjM4M2EtMDBmYS00MTc0LWIzNjMtMGM1NGEyOTQ1NjAzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,3268,tt4371334,tt2467372,episode,True
Terry Kitties,2016,TV-14,15 Mar 2016,3,19,22 min,"Comedy, Crime",Michael McDonald,"Dan Goor, Michael Schur, Phil Augusta Jackson","Andy Samberg, Stephanie Beatriz, Terry Crews","Terry enlists Jake's help in solving a twenty year old case which his old precinct never let him forget, Charles allows Adrian Pimento to stay at his place and soon regrets it, while Amy, Rosa and Holt attend a class together.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNmZlYWEzYzgtYzhkNi00MzkwLWE3ODItY2FlZjU2NjBhZGJjXkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,2877,tt4371338,tt2467372,episode,True
Paranoia,2016,TV-14,29 Mar 2016,3,20,21 min,"Comedy, Crime",Payman Benz,"Dan Goor, Michael Schur, Gabe Liedman","Andy Samberg, Stephanie Beatriz, Terry Crews","The precinct tries to set up perfect bachelor and bachelorette parties for Adrian and Rosa after they announce their engagement, but Adrian's party falls apart when he tells everyone that someone is stalking him and steals the par...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMDlkMGI4YzUtOWUwZi00MmY0LTg5ZWYtOWEwNjFhMmVkNzhkXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,2940,tt4371342,tt2467372,episode,True
Maximum Security,2016,TV-14,05 Apr 2016,3,21,22 min,"Comedy, Crime",Victor Nelli Jr.,"Dan Goor, Michael Schur, Laura McCreary","Andy Samberg, Stephanie Beatriz, Terry Crews","With Adrian off the grid and in hiding, the rest of the squad scramble to track down the sister of Figgis, the mobster behind the operation, and throw a fake funeral to flush out Figgis' hit man.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMGEwZmQ2MWItNzQwMS00MTljLWJlYjYtM2NkZDkzMGY2ZmE3XkEyXkFqcGdeQXVyMTI3Mzg3MzE1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,2896,tt4371346,tt2467372,episode,True
Bureau,2016,TV-PG,12 Apr 2016,3,22,22 min,"Comedy, Crime",Ryan Case,"Dan Goor, Michael Schur, David Phillips","Andy Samberg, Stephanie Beatriz, Terry Crews","While Amy continues to work on Figgis' sister Maura on the inside, Jake, Rosa and Holt team up with Bob Annderson to track down the FBI mole. Meanwhile, Gina helps Terry work out the culprit behind a press leak.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNWRkNjM0ZjEtYzU4My00ZjM2LWFlOWQtNmQ4OWZjOGJlM2IxXkEyXkFqcGdeQXVyMTI3Mzg3MzE1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",N/A,8.6,3162,tt4371344,tt2467372,episode,True
Greg and Larry,2016,TV-PG,19 Apr 2016,3,23,22 min,"Comedy, Crime",Dan Goor,"Dan Goor, Michael Schur, Andrew Guest","Andy Samberg, Stephanie Beatriz, Terry Crews","After a surprising turn of events in the Nine-Nine's attempt to track down Adrian Pimento's hitman, the precinct drops everything when they suspect Holt is in danger.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjk0NDI0ZGQtMTFjYi00YTkxLTg1OGEtODdiZjkzODY2NDU1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}]",N/A,8.9,3670,tt5586042,tt2467372,episode,True
"Coral Palms, Part 1",2016,TV-14,20 Sep 2016,4,1,22 min,"Comedy, Crime",Michael McDonald,"Dan Goor, Michael Schur, Phil Augusta Jackson","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake and Holt adjust to their new lives in Florida under the Witness Protection Program while Jimmy ""The Butcher"" Figgis remains on the loose.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTUwODQ4MTQzN15BMl5BanBnXkFtZTgwMDAwNTMwMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,3371,tt5604132,tt2467372,episode,True
"Coral Palms, Part 2",2016,TV-14,27 Sep 2016,4,2,22 min,"Comedy, Crime",Trent O'Donnell,"Dan Goor, Michael Schur, Tricia McAlpin","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake and Holt plan their attack on Jimmy ""The Butcher"" Figgis, only to end up on the other side of the interrogation table.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTU4NDMxMTE0MV5BMl5BanBnXkFtZTgwMjQxOTcwMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,3138,tt6013782,tt2467372,episode,True
"Coral Palms, Part 3",2016,TV-14,04 Oct 2016,4,3,21 min,"Comedy, Crime",Payman Benz,"Dan Goor, Michael Schur, Justin Noble","Andy Samberg, Stephanie Beatriz, Terry Crews","The team goes to Florida to help Jake and Holt take down Jimmy Figgis, but their plan falls through due to an unexpected injury and another interruption from Sheriff Reynolds.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjQ2NjAyNTA2OF5BMl5BanBnXkFtZTgwNjg5MTMyMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,3344,tt6068160,tt2467372,episode,True
The Night Shift,2016,TV-14,11 Oct 2016,4,4,22 min,"Comedy, Crime",Tristram Shapeero,"Dan Goor, Michael Schur, Matt Murray","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake, on his first case back at the precinct, commandeers the vehicle of Jess Day, (from New Girl) who's visiting New York. In the meantime, Holt tries to increase office morale and Amy wants to know why Rosa is taking such long b...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTgxNTEzODgyMF5BMl5BanBnXkFtZTgwMzEzOTkyMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,2851,tt6043838,tt2467372,episode,True
Halloween IV,2016,TV-14,18 Oct 2016,4,5,21 min,"Comedy, Crime",Claire Scanlon,"Dan Goor, Michael Schur, Phil Augusta Jackson","Andy Samberg, Stephanie Beatriz, Terry Crews",The squad competes in the annual Halloween heist to win the title of Ultimate Detective Slash Genius.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTk0NDI1MTY5OF5BMl5BanBnXkFtZTgwODYzNTUzMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}]",N/A,8.7,3844,tt6108218,tt2467372,episode,True
Monster in the Closet,2016,TV-14,15 Nov 2016,4,6,21 min,"Comedy, Crime",Nisha Ganatra,"Dan Goor, Michael Schur, Andrew Guest","Andy Samberg, Stephanie Beatriz, Terry Crews",The Nine-Nine throws a wedding for Pimento and Rosa.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTY0OTM3NzI5NF5BMl5BanBnXkFtZTgwMTQ4NDI2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,2965,tt6202730,tt2467372,episode,True
Mr. Santiago,2016,TV-14,22 Nov 2016,4,7,22 min,"Comedy, Crime",Alex Reid,"Dan Goor, Michael Schur, Neil Campbell","Andy Samberg, Stephanie Beatriz, Terry Crews","Amy's father, a former cop, comes to Thanksgiving dinner and Jake tries to impress him, leaving Charles on turkey duty. In the meantime, Holt helps Pimento come to terms with the fact that he can no longer be a police officer.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOTA4ODIwNGEtY2VmNS00NDExLTgzMGYtYjNmMWQ5YmFkZWY4XkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,2873,tt6213872,tt2467372,episode,True
Skyfire Cycle,2016,TV-14,29 Nov 2016,4,8,22 min,"Comedy, Crime",Michael McDonald,"Dan Goor, Michael Schur, David Phillips","Andy Samberg, Stephanie Beatriz, Terry Crews","Terry meets his lifelong hero, a famous author who's received death threats. In other events, Gina tries to choose the location of the Boyle family vacation and Amy sides with Kevin in his argument with Holt over a math puzzle.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTlhNWU2YzYtMzZiOS00OGU2LTk5YWYtNWJmYWI1NmNiNmFlXkEyXkFqcGdeQXVyNjAwODA4Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,2915,tt6026160,tt2467372,episode,True
The Overmining,2016,TV-14,06 Dec 2016,4,9,22 min,"Comedy, Crime",Dean Holland,"Dan Goor, Michael Schur, Luke Del Tredici","Andy Samberg, Stephanie Beatriz, Terry Crews",Jake and Holt help Captain CJ with a big case.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYWE3NmZmYTgtMDk0Zi00MWYxLTk1NjgtYzhhOTI3MDVhYTY2L2ltYWdlXkEyXkFqcGdeQXVyNjc5Mjg0NjU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,2843,tt6249330,tt2467372,episode,True
Captain Latvia,2016,TV-14,13 Dec 2016,4,10,21 min,"Comedy, Crime",Jaffar Mahmood,"Dan Goor, Michael Schur, Matt Lawton","Andy Samberg, Stephanie Beatriz, Terry Crews",Jake and Charles face off against a Latvian criminal ring when Jake helps Charles find his son's favorite toy for Christmas.,English,N/A,N/A,https://m.media-amazon.com/images/M/MV5BYTQyYzdlZjYtYmQ2YS00ZjZhLWI3M2YtYWNkN2M1MGViYjQxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,2935,tt6249350,tt2467372,episode,True
"The Fugitive, Part 1",2017,TV-14,01 Jan 2017,4,11,60 min,"Comedy, Crime",Rebecca Asher,"Carol Kolb, Phil Augusta Jackson, Tricia McAlpin","Andy Samberg, Stephanie Beatriz, Terry Crews","When a prison van escape sets nine convicts loose in the city, Jake and Amy compete to see who can bring in the most fugitives.",English,United States,N/A,"https://m.media-amazon.com/images/M/MV5BZWMwMjdkMzQtMzg0YS00MTFjLTllNWItZTY5YmNkZDdkZmEwXkEyXkFqcGc@._V1_QL75_UY562_CR232,0,380,562_.jpg","[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,3492,tt6214956,tt2467372,episode,True
"The Fugitive, Part 2",2017,N/A,01 Jan 2017,4,12,60 min,"Comedy, Crime",Ryan Case,"Dan Goor, Michael Schur, Justin Noble","Andy Samberg, Stephanie Beatriz, Terry Crews","The squad goes on a manhunt for a group of convicts who've escaped from a prison van on the streets of Brooklyn. When one fugitive is still loose, Jake gains a surprising ally.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzY2MDNiNjUtODllMC00MTU0LTk5NzItMWYyYzhmNjllYmYzXkEyXkFqcGdeQXVyNjE5Mjc4NDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,2331,tt6875466,tt2467372,episode,True
The Audit,2017,TV-14,11 Apr 2017,4,13,22 min,"Comedy, Crime",Beth McCarthy-Miller,"Dan Goor, Michael Schur, Carly Hallam","Andy Samberg, Stephanie Beatriz, Terry Crews",The squad tries to save their precinct from getting shut down when it's being audited by Amy's ex-boyfriend Teddy.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYjFiMDJmYzUtYTkwNC00Y2U0LTgwMTEtOWU3YjA4YWRkNWViXkEyXkFqcGdeQXVyNTg2MzM3NDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,2571,tt6212338,tt2467372,episode,True
Serve & Protect,2017,TV-14,18 Apr 2017,4,14,22 min,"Comedy, Crime",Michael Schur,"Dan Goor, Michael Schur, Andrew Guest","Andy Samberg, Stephanie Beatriz, Terry Crews",Jake and Rosa investigate a case of burglary that occurred on the set of one of their favorite detective shows as Terry's ex takes over auditing the Nine-Nine.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNWYzNjYyZjQtODU2NC00YTc2LTkzMGItZmVlN2FlYWM0NDc2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,2847,tt6332596,tt2467372,episode,True
The Last Ride,2017,TV-14,25 Apr 2017,4,15,22 min,"Comedy, Crime",Linda Mendoza,"Dan Goor, Michael Schur, David Phillips","Andy Samberg, Stephanie Beatriz, Terry Crews",Jake and Charles search for a bike thief on what may be their last case together.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjY4OWE3YjktOWYyZi00Y2U5LTk0NjItMmFmNmEyNDZkNjdjXkEyXkFqcGdeQXVyNjc5Mjg0NjU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,2835,tt6463252,tt2467372,episode,True
Moo Moo,2017,TV-14,02 May 2017,4,16,21 min,"Comedy, Crime",Maggie Carey,"Dan Goor, Michael Schur, Phil Augusta Jackson","Andy Samberg, Stephanie Beatriz, Terry Crews",Terry and Holt have different ideas for dealing with a fellow police officer who creates trouble for Terry in his own neighborhood.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BN2E1Yjk2M2YtNjAyMC00N2ViLWIyYWItZDRhZmViNzNjZGQ3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}]",N/A,8.8,5381,tt6693346,tt2467372,episode,True
